season,week,method,celebrity_name,judge_total,bayes_vote_share,bayes_vote_share_sd,p_eliminated_mc,elim_after_week_true
4,10,percent,Laila Ali,28.333200000000005,0.3218157291412353,0.1123235449194908,0.386,False
5,1,percent,Albert Reed,21.0,0.0527459233999252,0.0125940470024943,0.0,False
5,1,percent,Cameron Mathison,21.0,0.1021814569830894,0.0217046104371547,0.0,False
5,1,percent,Floyd Mayweather Jr.,18.0,0.0798672139644622,0.019483845680952,0.0,False
5,1,percent,Helio Castroneves,25.0,0.0969230383634567,0.0222357343882322,0.0,False
5,1,percent,Jane Seymour,24.0,0.1061256304383277,0.0244063977152109,0.0,False
5,1,percent,Jennie Garth,21.0,0.0989651978015899,0.0232613384723663,0.0,False
5,1,percent,Josie Maran,16.0,0.0277310423552989,0.0053335051052272,1.0,True
5,1,percent,Marie Osmond,21.0,0.0969512164592742,0.0218241997063159,0.0,False
5,1,percent,Mark Cuban,21.0,0.0916062146425247,0.0179458893835544,0.0,False
5,1,percent,Mel B,24.0,0.0919823870062828,0.0212152916938066,0.0,False
5,1,percent,Sabrina Bryan,26.0,0.0819239169359207,0.0206562653183937,0.0,False
5,1,percent,Wayne Newton,19.0,0.0729966759681701,0.0179397538304328,0.0,False
5,2,percent,Albert Reed,21.0,0.0139408577233552,0.0044520637020468,0.2905,True
5,2,percent,Cameron Mathison,21.0,0.126747727394104,0.0342033170163631,0.0,False
5,2,percent,Floyd Mayweather Jr.,21.0,0.0536532178521156,0.0189231056720018,0.0005,False
5,2,percent,Helio Castroneves,27.0,0.1097815781831741,0.0292197074741125,0.0,False
5,2,percent,Jane Seymour,21.0,0.1107175573706626,0.027457270771265,0.0,False
5,2,percent,Jennie Garth,21.0,0.1199093908071518,0.0395991504192352,0.0,False
5,2,percent,Marie Osmond,24.0,0.1240056827664375,0.0345716103911399,0.0,False
5,2,percent,Mark Cuban,18.0,0.0889565050601959,0.0228381808847188,0.0005,False
5,2,percent,Mel B,23.0,0.1204474344849586,0.0306875202804803,0.0,False
5,2,percent,Sabrina Bryan,26.0,0.0989287346601486,0.0335987284779548,0.0,False
5,2,percent,Wayne Newton,15.0,0.0329113379120826,0.011569608002901,0.7085,False
5,3,percent,Cameron Mathison,23.0,0.1393739879131317,0.0391393899917602,0.0,False
5,3,percent,Floyd Mayweather Jr.,21.0,0.0273656658828258,0.0092866383492946,0.0,False
5,3,percent,Helio Castroneves,24.0,0.1326100975275039,0.0349942706525325,0.0,False
5,3,percent,Jane Seymour,27.0,0.1324941515922546,0.0404052622616291,0.0,False
5,3,percent,Jennie Garth,26.0,0.1380103081464767,0.0392091162502765,0.0,False
5,3,percent,Marie Osmond,26.0,0.1368303447961807,0.0370451137423515,0.0,False
5,3,percent,Mark Cuban,20.0,0.0735256746411323,0.0235373247414827,0.0,False
5,3,percent,Mel B,27.0,0.1350444257259369,0.0373207703232765,0.0,False
5,3,percent,Sabrina Bryan,27.0,0.0719638839364051,0.0234177596867084,0.0,False
5,3,percent,Wayne Newton,18.0,0.012781505472958,0.0035095801576972,1.0,True
5,4,percent,Cameron Mathison,27.0,0.1575152277946472,0.0449217334389686,0.0,False
5,4,percent,Floyd Mayweather Jr.,23.0,0.0109311388805508,0.0037624586839228,0.971,True
5,4,percent,Helio Castroneves,27.0,0.1617076694965362,0.0443778373301029,0.0,False
5,4,percent,Jane Seymour,26.0,0.1314688920974731,0.0386548675596714,0.0,False
5,4,percent,Jennie Garth,27.0,0.1494951695203781,0.0392776168882846,0.0,False
5,4,percent,Marie Osmond,26.0,0.1498153656721115,0.0385459102690219,0.0,False
5,4,percent,Mark Cuban,22.0,0.036284614354372,0.0133347176015377,0.029,False
5,4,percent,Mel B,26.0,0.1479750573635101,0.0389456078410148,0.0,False
5,4,percent,Sabrina Bryan,30.0,0.0548068769276142,0.019036466255784,0.0,False
5,5,percent,Cameron Mathison,26.0,0.1610103845596313,0.037532415241003,0.0,False
5,5,percent,Helio Castroneves,23.0,0.1728551983833313,0.0375212058424949,0.0,False
5,5,percent,Jane Seymour,26.0,0.1141207665205001,0.0358682908117771,0.0,False
5,5,percent,Jennie Garth,25.0,0.1741564720869064,0.038140770047903,0.0,False
5,5,percent,Marie Osmond,21.0,0.1753494143486023,0.0338299125432968,0.0,False
5,5,percent,Mark Cuban,21.0,0.0135399289429187,0.0040555004961788,1.0,True
5,5,percent,Mel B,29.0,0.1598691344261169,0.0418771170079708,0.0,False
5,5,percent,Sabrina Bryan,28.0,0.0290988739579916,0.0097167203202843,0.0,False
5,6,percent,Cameron Mathison,25.0,0.1573347598314285,0.0393010973930358,0.0,False
5,6,percent,Helio Castroneves,28.0,0.1843667775392532,0.0375309996306896,0.0,False
5,6,percent,Jane Seymour,22.0,0.0706603080034256,0.0216190125793218,0.0115,False
5,6,percent,Jennie Garth,27.0,0.1888634711503982,0.045752502977848,0.0,False
5,6,percent,Marie Osmond,23.0,0.2177347540855407,0.0435150042176246,0.0,False
5,6,percent,Mel B,30.0,0.1683470904827118,0.0413483306765556,0.0,False
5,6,percent,Sabrina Bryan,25.0,0.012692829594016,0.0040771532803773,0.9885,True
5,7,percent,Cameron Mathison,25.5,0.1095185577869415,0.0317035838961601,0.0,False
5,7,percent,Helio Castroneves,26.0,0.2261046022176742,0.0547847971320152,0.0,False
5,7,percent,Jane Seymour,25.0,0.0223096255213022,0.006607080809772,1.0,True
5,7,percent,Jennie Garth,26.5,0.2092567384243011,0.0569529756903648,0.0,False
5,7,percent,Marie Osmond,26.0,0.2117123454809188,0.0448468029499053,0.0,False
5,7,percent,Mel B,27.0,0.2210981398820877,0.0459595918655395,0.0,False
5,8,percent,Cameron Mathison,25.5,0.0309662111103534,0.0085145598277449,1.0,True
5,8,percent,Helio Castroneves,28.5,0.271222710609436,0.0546807236969471,0.0,False
5,8,percent,Jennie Garth,25.0,0.1724023073911667,0.0369475781917572,0.0,False
5,8,percent,Marie Osmond,24.5,0.2714574038982391,0.052432358264923,0.0,False
5,8,percent,Mel B,28.0,0.2539513707160949,0.0506989508867263,0.0,False
